,ProductName,Description,Gender,PrimaryColor,ProductBrand
0,dkny unisex black & grey printed medium trolley bag,"black and grey printed medium trolley bag, secured with a tsa lockone handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsone main zip compartment, zip lining, two compression straps with click clasps, one zip compartment on the flap with three zip pocketswarranty: 5 yearswarranty provided by brand owner / manufacturer",unisex, black,dkny
1,ethnovogue  beige & grey made to measure custom made kurta set with jacket,"beige & grey made to measure kurta with churidar and dupattabeige made to measure calf length kurta, has a v-neck, three-quarter sleeves, lightly padded on bust, flared hem, concealed zip closuregrey solid made to measure churidar, drawstring closuregrey net sequined dupatta, has printed tapingwhat is made to measure?customised kurta set according to your bust and length. so please refer to the size chart to pick your perfect size.how to measure bust?measure under your arms and around your chest to find your bust size in incheshow to measure kurta length?measure from shoulder till barefoot to find kurta length in",women, beige,ethnovogue
2,spykar  pink alexa super skinny fit high-rise clean look stretchable cropped jeans,"pink coloured wash 5-pocket high-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",women, pink,spykar
3,raymond  blue self-design single-breasted bandhgala suit,"blue self-design bandhgala suitblue self-design bandhgala blazer, has a mandarin collar, single breasted with full button placket, long sleeves, three pockets, an attached lining and a double-vented back hemblue self-design mid-rise trousers, has a zip fly with a button and a hook-and-bar closure, four pockets, a waistband with belt loops",men,blue,raymond
4,parx  brown & off-white slim fit printed casual shirt,"brown and off-white printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men, white,parx
5,showoff  brown solid slim fit regular shorts,"brown solid low-rise regular shorts, has four pockets, a button closure",men, brown,showoff
6,parx  blue slim fit checked casual shirt,"blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men,blue,parx
7,spykar  burgundy alexa super skinny fit high-rise clean look stretchable ankle jeans,"burgundy coloured wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",women, burgundy,spykar
8,parx  brown tapered fit solid regular trousers,brown solid regular trousers regular trousers,men, red,parx
9,dkny unisex black large trolley bag,"black solid large trolley bag, secured with a tsa lockone handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsone main zip compartment, zip lining, two compression straps with click clasps and one zip pocketone exterior zip pocketwarranty: 5 yearswarranty provided by brand owner / manufacturer",unisex, black,dkny
10,kenneth cole  navy blue solid backpack,navy blue backpacknon-padded haul loop1 main compartment with zip closurepadded backzip pocketpadded shoulder strap: paddedwater-resistance: no,women,blue,kenneth cole
11,parx  green printed polo collar t-shirt,"green printed t-shirt, has a polo collar, and short sleeves",men, green,parx
13,vishudh  maroon printed kurta with palazzos,"maroon printed kurta with palazzos maroon straight calf length kurta, has a round neck, three-quarter sleeves, straight hem, side slitsmaroon  printed palazzos, has elasticated waistband, slip-on closure",women, maroon,vishudh
14,parx  red slim fit checked casual shirt,"red checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men, red,parx
15,being human  navy printed casual slim shirt,"navy blue printed casual shirt, has a spread collar, a full button placket, two pockets, long sleeves, a curved hem",men, navy,being human
16,homesake  & white solid handcrafted table lamp with shade,type: handcrafted table lamp with shadecolour: gold-toned and whitepattern: solidshape: frustumshade material: fabricbase material: aluminiumbulb holder type: e27switch type: toggle buttoncomes with bulb,unisex, white,homesake
17,sej by nisha gupta  of 6 mustard & blue printed table placemats,set content: 6 table mats shape: rectangle colour: mustard and blue pattern: printed suitable for: 6 seater table material: cotton ,unisex,blue,sej by nisha gupta
18,yak yak  camel brown solid polo collar t-shirt,"camel brown solid t-shirt, has polo collar, short sleeves",men, brown,yak yak
19,parfait  size black striped non-wired lightly padded t-shirt bra p5252,black striped medium-coverage t-shirt bralightly padded and non-wired seamless cupsregular straps and back closureback style: regularfeature: all day comfort,women, red,parfait
21,highlander  mustard & black slim fit checked casual shirt,"mustard and black checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men, black,highlander
22,sej by nisha gupta  of 6 multicoloured printed table placemats,set content: 6 table matsshape: rectanglecolour: multicolouredpattern: printedsuitable for: 6 seater tablematerial: cotton,unisex, red,sej by nisha gupta
23,spykar  blue adora skinny fit mid-rise clean look stretchable ankle jeans,"blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",women,blue,spykar
24,jewel junction  square cufflinks,a pair of gold-toned square solid cufflinks,men, gold,jewel junction
25,id  tan brown fisherman leather sandals,a pair of tan brown fisherman sandalsleather upper with velcro closurecushioned footbedpatterned synthetic outsolewarranty: 3 monthswarranty provided by brand/manufacturer,men, brown,id
26,story@home  geometric 210tc cotton 1 king bedsheet with 2 pillow covers,set content: 1 king bedsheet with 2 pillow coversquality: fine thread count: 210colour: multicolouredpattern: geometric,unisex, red,story@home
27,raymond  blue slim fit printed formal shirt,"blue printed formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket",men,blue,raymond
28,gini and jony  navy blue regular fit solid casual shirt,"navy blue solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem",boys,blue,gini and jony
30,sera  blue printed kurta with palazzos,"blue printed kurta with palazzos blue a-line calf length kurta, has a round neck, short sleeves, flared hem blue solid palazzos, button closure",women,blue,sera
31,accessher  gold-toned & pink gold-plated ad-studded maang tikka,"gold-toned and pink gold-plated maang tikka with arificial stoned and beads studded, gold-platedsecured with a fish-hook ear wire",women, pink,accessher
32,parx  blue slim fit printed casual shirt,"blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men,blue,parx
33,alcis  yellow & blue colorblocked tights,"alcis women  yellow & blue colorblocked tights, three-fouth length, elasticated waist",women,blue,alcis
34,id  brown leather formal slip-ons,"a pair of brown square-toed formal slip-on shoes, has elasticated gussets on both sidesleather upper, has a textured detailcushioned footbedtextured tpr outsolewarranty: 3 months against manufacturing defect onlywarranty provided by the brand owner / manufacturer",men, brown,id
35,difference of opinion  navy blue solid round neck t-shirt with side strip detail,"navy blue solid t-shirt, has a round neck, long sleeves, has side stripes in the sleeves",men,blue,difference of opinion
36,parx  blue slim fit checked casual shirt,"blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one pocket",men,blue,parx
37,michael kors  blue for men edt 70 ml,"what it is:extreme blue for men edwhat it does:masculine and sensuous at the same time is this 'blue eau de toilette' from michael kors. exuding unmatched freshness, this edt is a must-have in your collection of fragrances. available in a 70 ml pack, this edt has top notes of bergamot, spicy pink pepper and invigorating cardamom. the heart notes are of juniper, cypress, nutty sesame and herbaceous sage, while the base notes include warm ambrox, musk and patchouli.",men,blue,michael kors
38,tokyo talkies  off-white & pink floral print fit and flare dress,"off-white and pink printed woven fit and flare dress, has a round neck, three-quarter sleeves, concealed zip closure,, flared hem",women, white,tokyo talkies
40,highlander  navy blue & maroon slim fit checked casual shirt,"navy blue and maroon checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men,blue,highlander
41,her by invictus  brown solid cushioned mules,"a pair of pointed closed toe brown mules with comfort lining and foam cushioned footbed for your work-from-home needs. it has regular styling, and closed backsynthetic upperfoam cushioned footbedtextured and patterned outsole",women, brown,her by invictus
42,id  beige leather derbys,"a pair of round-toe beige derbys, has regular styling, lace-up detailleather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, beige,id
43,spykar  blue adora skinny fit mid-rise low distress ankle-length stretchable jeans,"blue medium wash 5-pocket mid-rise ankle-length jeans, low distress, heavy fade, has a button and zip closure, and waistband with belt loops",women,blue,spykar
44,spykar  blue adora skinny fit mid-rise clean look ankle-length stretchable jeans,"blue dark wash 5-pocket mid-rise ankle-length jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",women,blue,spykar
45,soie  solid non-wired non padded maternity bra cb-331nude,nude-coloured solid full-coverage maternity bra non padded and non-wired seamless cups regular straps and back closure back style: regular feature: all day comfort,women, red,soie
46,lara karen  black solid maxi satin skirt,"black solid woven maxi skirt, has a slip-on closure, flared hem",women, black,lara karen
47,gini and jony  yellow fit and flare embellished dress,"yellow embellished woven fit and flare dress, has a round neck, short sleeves, zip closure, an attached lining, and flared hem",girls, yellow,gini and jony
48,story@home  & blue geometric 210tc cotton 1 king bedsheet with 2 pillow covers,set content: 1 king bedsheet with 2 pillow coversquality: finethread count: 210colour: off-white and bluepattern: geometric,unisex,blue,story@home
49,parfait  size blue solid underwired lightly padded plunge bra 2801,blue solid medium-coverage plunge bra with lace detaillightly padded and underwired seamless cupsregular straps and back closureback style: regularfeature: all day comfort,women,blue,parfait
50,urban dog  grey solid regular fit sports shorts,"grey solid mid-rise sports shorts, has two pockets, a drawstring closure",men, grey,urban dog
51,ahilya  silver textured bangle,"sterling silver textured bangle, has animal-shaped detail on the endsnote: this jewellery is handcrafted, therefore there might be slight variations from the image.",women, red,ahilya
52,parfait  size blue solid underwired lightly padded t-shirt bra p5441,blue solid medium-coverage t-shirt bralightly padded and underwired seamless cupsregular straps and back closureback style: regularfeature: all day comfort,women,blue,parfait
53,vastramay  navy blue & maroon solid kurta with dhoti pants & jacket,"navy blue and maroon solid kurta with dhoti pantsnavy blue straight above knee kurta, has a mandarin collar, long sleeves, curved hemgold-toned solid dhoti pants, slip-on closuremaroon woven design nehru jacket, has a mandarin collar, sleeveless, one welt pocket",boys,blue,vastramay
54,difference of opinion  grey melange printed round neck t-shirt,"grey printed t-shirt, has round neck, long sleeves",men, grey,difference of opinion
55,campus sutra  white & blue regular fit colourblocked casual shirt,"white and blue colourblocked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men,blue,campus sutra
56,fido dido  white printed round neck t-shirt,"white and black printed t-shirt,has round neck,short sleeves",men, white,fido dido
57,miah decor  & black indian art printed set of 4 ceramic bowls,type: bowlspattern: printedfinish: matte material: ceramic,unisex, black,miah decor
58,jewel junction  geometric cufflinks,a pair of gold-toned and blue geometric printed cufflinkscomes in a signature jewel junction case,men, gold,jewel junction
59,vishudh  off-white & green floral print a-line dress,"off-white and green printed woven a-line dress, has a mandarin collar, three-quarter sleeves, button closure,, flared hem",women, green,vishudh
60,urban dog  grey printed regular fit sports shorts,"grey printed mid-rise sports shorts, has two pockets, a drawstring closure",men, grey,urban dog
61,parfait  size women navy blue  white solid low-rise bikini brief pp303,"navy blue and white solid low rise bikini briefs, has an inner elasticated waistband with lace detail, double layered gusset",women,blue,parfait
62,sej by nisha gupta  of 6 yellow & blue printed table placemats,set content: 6 table mats shape: rectangle colour: yellow and bluepattern: printed suitable for: 6 seater table material: cotton ,unisex,blue,sej by nisha gupta
63,id  brown leather loafers,"a pair of square toe brown loafers, has regular styling, slip-on detailleather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, brown,id
64,parfait  size red solid underwired lightly padded t-shirt bra p5391,red solid medium-coverage t-shirt bra lightly padded and underwired seamless cups regular straps and back closure back style: regular feature: all day comfort,women, red,parfait
65,spykar  blue adora skinny fit mid-rise mildly distressed stretchable cropped jeans,"blue medium wash 5-pocket mid-rise cropped jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops",women,blue,spykar
66,spykar  blue adora skinny fit mid-rise clean look stretchable cropped jeans,"blue dark wash 5-pocket mid-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",women,blue,spykar
67,raymond  blue regular fit self design formal shirt,"blue self-design formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket",men,blue,raymond
68,buckleup  multicoloured printed belt,multicoloured printed beltreversible: nostretchable: nosecured with a tangwarranty: 1 monthwarranty provided by brand/manufacturer,women, red,buckleup
69,peter england  black briefs piwbk9146012,"a pair of black briefs, has an elasticated waistband and a panelled front with a double-layered contoured pouch",men, black,peter england
70,aigner  platinum eau de toilette perfume 100 ml,"notestop notes: mandarin, bergamot, ozonic, orange, tamarind, cardamom, black pepper, clove tones and crisp mint leavesheart notes: spicy woody notesbase notes: crystal amber, vanilla guaiacwood, olibanum, patchouli, sandalwood, moos",men, platinum,aigner
71,gini and jony  blue solid jacket,"blue solid jacket, has a spread collar, 4 pockets, button closure, long sleeves, straight hem",girls,blue,gini and jony
72,homesake  solid handcrafted table lamp with shade,type: handcrafted table lamp with shadecolour: gold-tonedpattern: solidshape: frustumshade material: fabricbase material: aluminiumswitch type: toggle button,unisex, gold,homesake
73,campus sutra  black solid round neck faux leather t-shirt,"black solid t-shirt, has a round neck, and long sleeves with faux leather detail",men, black,campus sutra
74,miah decor  of 3 blue & off-white handpainted kitchen storage jars with lids,type:  set of 3 blue & off-white handpainted kitchen storage jars with lidspattern: printedfinish: glossymaterial: ceramic,unisex,blue,miah decor
75,gini and jony  peach-coloured floral embroidered fit & flare dress,"peach-coloured net embroidered woven fit and flare dress with embellished detail, has a round neck, short sleeves, concealed zip closure, tie-up on the back, attached lining and flared hem",girls, red,gini and jony
76,sej by nisha gupta  & green printed wooden open dry bin,set content: 1 open dry bincolour: blue and greenpattern: floral printshape: rectangular,unisex,blue,sej by nisha gupta
77,parx  blue slim fit checked casual shirt,"blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men,blue,parx
78,parfait  size black lace non-wired non padded everyday bra p5482,black lace full-coverage everyday branon padded and non-wired cut and sew cupsregular straps and back closureback style: regularfeature: side bone,women, red,parfait
79,parx  blue slim fit checked casual shirt,"blue checked casual shirt, has a spread collar, short sleeves, button placket,  curved hem, one patch pocket",men,blue,parx
81,sej by nisha gupta  of 4 multicoloured printed table placemats,set content: 4 table matsshape: rectanglecolour:multicolouredpattern: printedsuitable for: 4 seater tablematerial: cotton,unisex, red,sej by nisha gupta
82,her by invictus  red cushioned loafers,"a pair of round closed toe red loafers with comfort lining and foam cushioned footbed for your work-from-home needs. it has regular styling, and closed backsynthetic upperfoam cushioned footbedtextured and patterned outsole",women, red,her by invictus
83,jewel junction  & black round cufflinks,a pair of gold-toned and black round solid cufflinks,men, black,jewel junction
84,parfait  size black solid non-wired non padded sports bra p5542,black solid full-coverage sports bra with mesh detailnon padded and non-wired cut and sew cupsregular straps and back closureback style: regularfeature: all day comfort,women, red,parfait
85,her by invictus  tan brown cushioned slip-on shoes,"a pair of pointed closed toe tan brown slip-on shoes with cushioned footbed and comfortable lining, has regular styling, and closed backsynthetic upperfoam cushioned footbedtextured and patterned outsole",women, brown,her by invictus
86,dkny unisex black medium trolley bag,"black solid medium trolley bag, secured with a tsa lockone handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsone main zip compartment, zip lining, two compression straps with click clasps and one zip pocketone exterior zip pocketwarranty: 5 yearswarranty provided by brand owner / manufacturer",unisex, black,dkny
87,parx  yellow & off-white slim fit checked casual shirt,"yellow and off-white checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men, yellow,parx
88,story@home  & grey geometric 210 tc cotton 1 king bedsheet with 2 pillow covers,set content: 1 king bedsheet with 2 pillow coversquality: finethread count: 210colour: mauve and greypattern: geometric,unisex, grey,story@home
89,parx  blue & off-white slim fit printed casual shirt,"blue and off-white printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men,blue,parx
90,her by invictus  green cushioned slip-ons,"a pair of pointed toe green slip-ons with cushioned footbed, has regular styling, slip-on detailsynthetic suede upperfoam cushioned footbedtextured and patterned outsole",women, green,her by invictus
91,park avenue  blue skinny fit mid-rise clean look jeans,"blue dark wash five-pocket mid-rise jeans, clean look with light fade, has a button and zip closure, waistband with belt loops",women,blue,park avenue
92,roadster  black textured open toe flats,"a pair of black open-toed flats, has regular styling, no back strap detailsynthetic uppercushioned footbedtextured and patterned outsolewarranty: 1 monthwarranty provided by brand/manufacturer",women, red,roadster
93,her by invictus  black textured cushioned flats,"a pair of black pointed toe cushioned flats, has regular styling, slip-on detailsynthetic uppercushioned footbedtextured and patterned outsole",women, red,her by invictus
94,u.s. polo assn. denim co.  navy blue solid bomber jacket,"navy solid bomber jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and attached lining with 3 inner pockets",men,blue,u.s. polo assn. denim co.
95,sej by nisha gupta  of 6 pink printed table placemats,set content: 6 table mats shape: rectangle colour: pink and multicoloured pattern: printed suitable for: 6 seater table material: cotton ,unisex, pink,sej by nisha gupta
96,gini and jony  navy blue washed denim jacket,"navy blue washed denim jacket, has a spread collar, 4 pockets, button closure, long sleeves, straight hem, and unlined",girls,blue,gini and jony
97,sweet dreams  navy blue solid straight-fit trackpants,"navy blue solid straight-fit trackpant, has an elasticated waistband with a drawstring fastening, two pockets",men,blue,sweet dreams
98,kazo  yellow floral print shirt dress,"yellow printed woven shirt dress, has a mandarin collar, long sleeves, button closure,, tulip hem",women, yellow,kazo
99,gini and jony  red & grey melange solid varsity jacket with applique detail,"red and grey melange solid varsity jacket, has a stand collar, snap button closure, long sleeves, straight hem, unlined",boys, red,gini and jony
100,parfait  size beige solid underwired lightly padded plunge bra 2801,beige solid medium-coverage plunge bra lightly padded and underwired seamless cups regular straps and back closure back style: regular feature: all day comfort,women, red,parfait
101,parx  blue slim fit checked casual shirt,"blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men,blue,parx
102,parx  black & red slim fit checked casual shirt,"black and red checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men, red,parx
103,id  tan brown formal leather oxfords,"a pair of tan brown square-toed formal oxfords, has central lace-upsleather uppercushioned footbedtextured tpu outsole, has a stacked heelwarranty: 3 months against manufacturing defect onlywarranty provided by the brand owner / manufacturer",men, brown,id
104,stylo bug  turquoise blue a-line dress,"turquoise blue printed woven a-line dress, has a round neck, sleeveless, concealed zip closure,, flared hem",girls,blue,stylo bug
